collection_date,scope,raw_title,primary_role,company,company_size,location,geo_tier,work_mode,salary_min_k,salary_max_k,pay_months,annual_min_k,annual_max_k,currency,experience,degree,skills,headcount,posted_updated,active_status,source_type,source_url,dedup_group,tier_35k,confidence,exclusion_reason,eligible_china,timezone,employment_type,priority_score,notes
2026-08-10,local,闪购-高级前端工程师（供应链物流方向）,前端开发,美团,"≥10,000",成都武侯区中和,扩展区,现场,19,35,15,285,525,CNY,1-3年,本科,React|TypeScript|小程序|RN|供应链SaaS,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/937f6e0bc762a1fa1n163Nq8Fw~~/,meituan-flash-fe-zhonghe-supply,可谈档,medium,,,,全职,76,
2026-08-10,local,高级前端研发工程师（广告）,前端开发,美团,"≥10,000",成都武侯区银泰城,扩展区,现场,15,25,15,225,375,CNY,3-5年,本科,React|TypeScript|广告业务|性能优化,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/937f6e0bc762a1fa1n163Nq8Fw~~/,meituan-fe-yintai-ads,未达35K,medium,,,,全职,71,
2026-08-10,local,高级Web前端开发工程师（企业平台）,前端开发,美团,"≥10,000",成都武侯区桂溪,扩展区,现场,15,30,15,225,450,CNY,1-3年,本科,React|TypeScript|中后台|数据可视化,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/937f6e0bc762a1fa1n163Nq8Fw~~/,meituan-fe-guixi-enterprise,未达35K,medium,,,,全职,73,
2026-08-10,local,前端开发工程师（企业应用）,前端开发,美团,"≥10,000",成都武侯区银泰城,扩展区,现场,20,40,15,300,600,CNY,1-3年,本科,React|TypeScript|数据可视化|在线教育,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/937f6e0bc762a1fa1n163Nq8Fw~~/,meituan-fe-yintai-enterprise-app,可谈档,medium,,,,全职,78,
2026-08-10,local,闪购-成都-高级前端开发工程师,前端开发,美团,"≥10,000",成都武侯区新会展中心,扩展区,现场,25,35,12,300,420,CNY,3-5年,本科,React|TypeScript|小程序|RN|SaaS,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/937f6e0bc762a1fa1n163Nq8Fw~~/,meituan-flash-fe-convention,可谈档,medium,,,,全职,78,
2026-08-10,local,闪购-高级前端工程师（供应链物流方向）,前端开发,美团,"≥10,000",成都武侯区石羊场,扩展区,现场,30,45,15,450,675,CNY,3-5年,本科,React|TypeScript|小程序|RN|供应链,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/937f6e0bc762a1fa1n163Nq8Fw~~/,meituan-flash-fe-shiyang-supply,可谈档,medium,,,,全职,83,
2026-08-10,local,资深前端开发工程师（AI导览）,前端开发,同程旅行,"1,000-9,999",成都武侯区铁像寺,扩展区,现场,28,40,15,420,600,CNY,5-10年,本科,React|TypeScript|前端架构|AI产品,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/8ea14f71b24f70840nd43N68EQ~~/,tongcheng-fe-tiexiangsi-ai-tour,可谈档,medium,,,,全职,81,
2026-08-10,local,前端开发工程师（AI平台）,前端开发,景烁科技,"1,000-9,999",成都武侯区新会展中心,扩展区,现场,18,35,12,216,420,CNY,3-5年,本科,React|TypeScript|Node.js|AI平台,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/8ea14f71b24f70840nd43N68EQ~~/,jingshuo-fe-convention-ai,可谈档,medium,,,,全职,76,
2026-08-10,local,资深前端/全栈开发工程师,全栈开发,伍柒必乐,100-499,成都武侯区新会展中心,扩展区,现场,16,30,12,192,360,CNY,3-5年,本科,React|TypeScript|Web可视化|Node.js,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/8ea14f71b24f70840nd43N68EQ~~/,57bile-fullstack-convention,未达35K,medium,,,,全职,72,
2026-08-10,local,前端开发工程师,前端开发,四川畅想创睿网络科技,100-499,成都武侯区桂溪,扩展区,现场,15,25,12,180,300,CNY,5-10年,本科,React|TypeScript|复杂Web,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/8ea14f71b24f70840nd43N68EQ~~/,changxiang-fe-guixi,未达35K,medium,,,,全职,68,
2026-08-10,local,前端开发工程师,前端开发,量迅科技,20-99,成都武侯区新会展中心,扩展区,现场,10,15,12,120,180,CNY,3-5年,本科,Vue|TypeScript|工程化,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/8ea14f71b24f70840nd43N68EQ~~/,liangxun-fe-convention,未达35K,medium,,,,全职,61,
2026-08-10,local,前端开发工程师,前端开发,华盛云端,20-99,成都武侯区桂溪,扩展区,现场,8,11,12,96,132,CNY,经验不限,本科,Web可视化|云产品|JavaScript,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/8ea14f71b24f70840nd43N68EQ~~/,huasheng-fe-guixi,未达35K,medium,,,,全职,59,
2026-08-10,local,前端开发工程师,前端开发,智维平科技,20-99,成都武侯区中和,扩展区,现场,7,12,12,84,144,CNY,3-5年,本科,Vue|JavaScript|用户体验,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/8ea14f71b24f70840nd43N68EQ~~/,zhiweiping-fe-zhonghe,未达35K,medium,,,,全职,59,
2026-08-10,local,AI Agent应用工程师,Agent开发,成都卓影科技股份有限公司,100-499,成都武侯区天府软件园E区,扩展区,现场,12,20,12,144,240,CNY,3-5年,本科,Java|Python|Spring Boot|FastAPI|LangGraph|AgentScope|Skills,1,2026-08-10可投递,active,智联招聘,https://www.zhaopin.com/jobdetail/CC541840820J40801057216.htm,zhuoying-agent-tfsp,未达35K,high,,,,全职,72,
2026-08-10,local,AI视觉开发工程师,AI应用开发,新钶电子,100-499,成都武侯区中和,扩展区,现场,20,35,13,260,455,CNY,1-3年,本科,Python|LoRA|RAG|大模型部署,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/951ab09d697110a90nd43du4FA~~/,xinke-ai-zhonghe,可谈档,medium,,,,全职,78,
2026-08-10,local,AI Agent开发工程师,Agent开发,合尔康,20-99,成都武侯区新会展中心,扩展区,现场,20,30,14,280,420,CNY,5-10年,本科,LLM|Agent|任务规划|对话管理|RAG,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/951ab09d697110a90nd43du4FA~~/,heerkang-agent-convention,未达35K,medium,,,,全职,75,
2026-08-10,local,AI Agent开发工程师,Agent开发,华为云,"≥10,000",成都武侯区中和,扩展区,现场,18,35,12,216,420,CNY,1-3年,本科,Python|Agent|Prompt|上下文管理|LLM API,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/951ab09d697110a90nd43du4FA~~/,huaweicloud-agent-zhonghe,可谈档,medium,,,,全职,81,
2026-08-10,local,AI Agent全栈开发工程师（B端）,全栈开发,中建电商,500-999,成都武侯区石羊场,扩展区,现场,20,30,12,240,360,CNY,5-10年,本科,React|Node.js|Python|Agent|B端SaaS,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/951ab09d697110a90nd43du4FA~~/,cscec-fullstack-shiyang,未达35K,medium,,,,全职,76,
2026-08-10,local,AI Agent应用开发工程师,Agent开发,成都品爆科技有限公司,100-499,成都武侯区石羊场,扩展区,现场,7,12,13,91,156,CNY,经验不限,本科,大模型API|Agent|AI Coding,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/951ab09d697110a90nd43du4FA~~/,pinbao-agent-shiyang,未达35K,medium,,,,全职,66,
2026-08-10,local,AI Agent开发工程师（Golang & Python）,Agent开发,掌梦科技,100-499,成都武侯区新会展中心,扩展区,现场,15,25,12,180,300,CNY,1-3年,本科,Go|Python|LLM|Agent|海外产品,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/951ab09d697110a90nd43du4FA~~/,zhangmeng-agent-convention,未达35K,medium,,,,全职,73,
2026-08-10,local,AI应用开发工程师,AI应用开发,塔万科技,20-99,成都武侯区成都高新区,扩展区,现场,18,25,13,234,325,CNY,经验不限,博士,AI应用|系统设计|大模型,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/951ab09d697110a90nd43du4FA~~/,tawan-ai-gaoxin,未达35K,medium,,,,全职,73,
2026-08-10,local,AI Agent平台（框架/应用）开发工程师,Agent开发,腾讯,"≥10,000",成都武侯区中和,扩展区,现场,25,45,15,375,675,CNY,3-5年,本科,Multi-Agent|工具调用|Agent框架|Python|Go,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/951ab09d697110a90nd43du4FA~~/,tencent-agent-platform-zhonghe,可谈档,medium,,,,全职,87,
2026-08-10,local,企业微信-AI应用后台开发工程师,Agent开发,腾讯,"≥10,000",成都武侯区新会展中心,扩展区,现场,30,60,12,360,720,CNY,经验不限,本科,RAG|Agent|企业知识图谱|后台开发,,2026-08（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/34bd03bb3f7519160nV_2tW9Ew~~/,tencent-wecom-agent-convention,可谈档,medium,,,,全职,93,
2026-08-10,local,AI应用后台开发工程师-Agent,Agent开发,腾讯,"≥10,000",成都武侯区中和,扩展区,现场,30,60,15,450,900,CNY,1-3年,本科,Agent服务|后端架构|性能优化|Python|Java,,2026-08（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/34bd03bb3f7519160nV_2tW9Ew~~/,tencent-agent-backend-zhonghe,可谈档,medium,,,,全职,93,
2026-08-10,local,AI开发工程师（Agent基础设施）,Agent开发,中彦医疗,20-99,成都武侯区中和,扩展区,现场,40,60,15,600,900,CNY,3-5年,本科,Agent架构|Skills|子Agent编排|知识库治理,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/951ab09d697110a90nd43du4FA~~/,zhongyan-agent-zhonghe,强匹配档,medium,,,,全职,89,
2026-08-10,local,AI开发工程师,AI应用开发,美团,"≥10,000",成都武侯区中和,扩展区,现场,18,30,12,216,360,CNY,10年以上,本科,Java|Go|Python|Node.js|Agent,,2026-07（索引抓取）,active,BOSS直聘,https://www.zhipin.com/zhaopin/951ab09d697110a90nd43du4FA~~/,meituan-ai-dev-zhonghe,未达35K,medium,,,,全职,79,
2026-08-10,local,AI Agent开发工程师,Agent开发,四川成都超精密光学创新研究院,未知,成都高新区高新南区7号楼,扩展区,现场,,,12,,,CNY,3-5年,本科,Python|Agent|RAG|LLM应用,,2026-07-24,active,招聘聚合页,https://www.quanzhi.com/job/6a62ec8662f6005b2b2d50c8,ultraoptics-agent-gaoxinnan,薪资缺失,low,,,,全职,69,
2026-08-10,local,全栈开发工程师,全栈开发,成都星阵地科技有限公司,未知,成都双流区兴隆湖,核心区,现场,,,12,,,CNY,5-10年,本科,React|Vue|Python|RAG|Agent|Workflow,,日期未知,lead,智联招聘,https://www.zhaopin.com/jobdetail/CC261308530J40911795912.htm,xingzhen-fullstack-xinglonghu,薪资缺失,low,活动日期与薪资无法验证,,,全职,,
2026-08-10,local,AI Agent开发工程师,Agent开发,洞察时空（成都）科技有限公司,未知,成都双流区（精确地点未披露）,边界待核,现场,20,30,14,280,420,CNY,5-10年,本科,Go|Python|MCP|Skills|CLI|Sandbox,1,2026-07-10,lead,猎聘,https://www.liepin.com/job/1984039865.shtml,dongcha-agent-shuangliu,未达35K,low,未核到核心区或扩展区精确地址,,,全职,,
2026-08-10,local,Agent全栈开发工程师,全栈开发,四川鲸杉人工智能科技有限公司,未知,成都（精确地点未披露）,边界待核,现场,20,30,12,240,360,CNY,经验不限,本科,TypeScript|React|Vue|Node.js|Python|MCP|Agent,2,2026-07-03,lead,猎聘,https://www.liepin.com/job/1983835989.shtml,jingshan-fullstack-chengdu,未达35K,low,未核到核心区或扩展区精确地址,,,全职,,
2026-08-10,local,全栈开发工程师,全栈开发,智眸心域（四川省）科技有限责任公司,1-19,成都高新区（精确地点未披露）,边界待核,现场,8,10,12,96,120,CNY,3-5年,本科,Java|Spring|Vue|React|LangChain|LangGraph|RAG,1,2026-07-09,lead,猎聘,https://www.liepin.com/job/1984012117.shtml,zhimou-fullstack-gaoxin,未达35K,low,高新区范围过大，无法确认是否在纳入片区,,,全职,,
2026-08-10,local,全栈开发（FDE）,全栈开发,成都精灵云,100-499,成都武侯区中和,扩展区,驻场/交付,15,30,12,180,360,CNY,5-10年,本科,Go|Java|Python|售前|现场联调|运维交付,,2026-07（索引抓取）,excluded,BOSS直聘,https://www.zhipin.com/zhaopin/91cf9e2072c99e220nd6090~/,jinglingyun-fde-zhonghe,未达35K,medium,明确直面客户、现场联调和交付，按决定忽略驻场岗位,,,全职,,
2026-08-10,local,AI Agent开发工程师,Agent开发,仕虹腾飞 / Rokid签约安排,1-19,成都双流区华阳,范围外,现场,18,35,14,252,490,CNY,5-10年,本科,Agent|RAG|LLM|多端,,2026-07（索引抓取）,excluded,BOSS直聘,https://www.zhipin.com/zhaopin/951ab09d697110a90nd43du4FA~~/,shihong-agent-huayang,可谈档,medium,工作地不在纳入片区，且存在异地/第三方签约风险,,,全职,,
2026-08-10,local,AI Agent开发工程师（实习）,Agent开发,蜀俊博凌,20-99,成都高新区,边界待核,现场,,,12,,,CNY,不限,本科,Python|Java|Go|LangChain|LangGraph|RAG,,2026-08-03,excluded,实习僧,https://www.shixiseng.com/intern/inn_kbybigxnwlum,shujun-agent-intern,薪资缺失,high,职位页明确已下线，且为实习岗,,,实习,,
2026-08-10,local,AI agent全栈开发工程师,全栈开发,未披露（猎头）,未知,成都高新区,边界待核,现场,25,40,12,300,480,CNY,3-5年,本科,Agent|全栈|RAG,1,2026-08-06,lead,猎聘,https://www.liepin.com/a/78654033.shtml,headhunter-agent-fullstack,可谈档,low,实际雇主与精确地址未披露，不计主样本,,,全职,,
2026-08-10,remote,Frontend Engineer – AI Automation Platform,前端开发,Bjak,未知,China,远程样本,远程,,,12,,,CNY,未披露,本科或同等经验,React|Next.js|TypeScript|AI产品|CI/CD,,2026-07（抓取）,active,公司招聘系统,https://jobs.ashbyhq.com/bjakcareer/064c3d19-a538-4cf0-a45d-4ed1de5d9167,bjak-fe-ai-automation-cn,薪资缺失,high,,是,马来西亚/APAC协作,全职,71,
2026-08-10,remote,React Frontend Engineer - Claims & Policy Automation,前端开发,Bjak,未知,China,远程样本,远程,,,12,,,CNY,未披露,未披露,React|TypeScript|AI工作流|保险科技,,2026-07（抓取）,active,公司招聘系统,https://jobs.ashbyhq.com/bjakcareer/ea40be8e-9c3f-429e-b9d2-1e34a9ca270a,bjak-fe-claims-cn,薪资缺失,high,,是,马来西亚/APAC协作,全职,71,
2026-08-10,remote,Frontend Engineer - Checkout & Renewals,前端开发,Bjak,未知,China,远程样本,远程,,,12,,,CNY,未披露,未披露,React|Next.js|TypeScript|支付|交易系统,,2026-07（抓取）,active,公司招聘系统,https://jobs.ashbyhq.com/bjakcareer/d21f486e-c84e-4e90-a3be-cd29147b4167,bjak-fe-checkout-cn,薪资缺失,high,,是,马来西亚/APAC协作,全职,70,
2026-08-10,remote,Frontend Engineer - Insurance Workflow Automation,前端开发,Bjak,未知,China,远程样本,远程,,,12,,,CNY,未披露,未披露,React|TypeScript|工作流|系统设计,,2026-07（抓取）,active,公司招聘系统,https://jobs.ashbyhq.com/bjakcareer/421db827-ac51-41d5-ab03-84bd68723981,bjak-fe-workflow-cn,薪资缺失,high,,是,马来西亚/APAC协作,全职,70,
2026-08-10,remote,Senior Frontend Engineer,前端开发,Bjak,未知,China,远程样本,远程,,,12,,,CNY,高级,未披露,React|TypeScript|前端架构|金融科技,,2026-05（抓取）,active,公司招聘系统,https://jobs.ashbyhq.com/bjakcareer/cae9229c-3d63-42d1-a520-1b58fe11e723,bjak-senior-fe-cn,薪资缺失,high,,是,马来西亚/APAC协作,全职,70,
2026-08-10,remote,Senior Frontend Engineer,前端开发,Atria,未知,Singapore / Taiwan / flexible APAC,远程样本,远程,,,12,,,CNY,Senior,未披露,Next.js|React|TypeScript|AI Agent|AI Coding|英语,,2026-08（抓取）,active,公司招聘系统,https://jobs.ashbyhq.com/atria/65c7622f-77c7-46c6-9cb5-592dc8ff6d45,atria-senior-fe-apac,薪资缺失,high,,待确认,APAC优先；英语口语必需,全职,66,
2026-08-10,remote,Full Stack Software Engineer (APAC),全栈开发,Patlytics,未知,APAC,远程样本,混合/远程,,,12,,,CNY,4年以上,未披露,TypeScript|React|Next.js|Python|SQL|AI应用,,2026-05（抓取）,lead,公司招聘系统,https://jobs.ashbyhq.com/patlytics/a3d66d31-2a27-4f25-86b8-19ddd08b91bd,patlytics-fullstack-apac,薪资缺失,medium,页面标为Hybrid且中国居住资格未披露,待确认,APAC,全职,,
2026-08-10,remote,Frontend Engineer,前端开发,Hercules,未知,Remote - North America,远程样本,远程,100,250,12,1200,3000,USD,Senior/Staff,未披露,React|TypeScript|PWA|AI Agent|App Builder,,2026-07（抓取）,excluded,公司招聘系统,https://jobs.ashbyhq.com/hercules/ca4bc69a-cde4-4a9f-8269-a81be1f75668,hercules-fe-na,强匹配档,high,仅北美远程且要求美国时区、定期到旧金山,否,美国时区,全职,,远程岗位原币为USD；人民币折算采用2026-08-06外汇局中间价1 USD=6.7895 CNY，仅作机会对比
